epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.399,2.17902,2.26387,1.40966,0.02168,0.78013,0.33731,0.14883,1.83248,2.89651,1.18031,0.000648649,0.000648649,0.000648649
2,169.858,2.05015,1.62188,1.32062,0.76671,0.23751,0.3606,0.1568,1.97359,2.58866,1.29333,0.0011851,0.0011851,0.0011851
3,187.34,2.07674,1.59326,1.32984,0.63827,0.45797,0.48487,0.21146,1.96254,1.93693,1.33107,0.00158955,0.00158955,0.00158955
4,204.972,2.00712,1.43217,1.29205,0.67294,0.52618,0.59205,0.24844,1.97539,1.53402,1.34499,0.001406,0.001406,0.001406
5,221.417,2.02483,1.40278,1.30643,0.70626,0.55967,0.62004,0.29002,1.87018,1.44742,1.28479,0.001208,0.001208,0.001208
6,237.111,1.95542,1.35789,1.27259,0.68346,0.62257,0.66946,0.31702,1.81525,1.41869,1.27993,0.00101,0.00101,0.00101
7,252.89,1.96946,1.30778,1.27055,0.71479,0.61317,0.67795,0.30414,1.8816,1.30466,1.25764,0.000812,0.000812,0.000812
8,268.948,1.95597,1.27081,1.2592,0.76524,0.61898,0.69916,0.32528,1.82499,1.25019,1.26432,0.000614,0.000614,0.000614
9,284.784,1.97401,1.25152,1.2629,0.75712,0.60729,0.68855,0.33244,1.80939,1.25006,1.24782,0.000416,0.000416,0.000416
10,300.789,1.89481,1.20617,1.23333,0.78473,0.62148,0.71865,0.34748,1.77239,1.23883,1.23383,0.000218,0.000218,0.000218
