epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0704,2.14293,2.29011,1.45332,0.76589,0.19518,0.41378,0.17319,1.87556,2.60438,1.27877,0.000657534,0.000657534,0.000657534
2,92.6884,2.03849,1.76523,1.38057,0.43991,0.37743,0.3607,0.16161,1.93561,2.151,1.3599,0.00119311,0.00119311,0.00119311
3,134.045,2.03537,1.68837,1.37335,0.60909,0.50289,0.53193,0.24339,1.88913,1.73918,1.36338,0.00159668,0.00159668,0.00159668
4,247.624,1.99802,1.5412,1.35544,0.74224,0.59083,0.6775,0.30006,1.84905,1.45478,1.32494,0.001406,0.001406,0.001406
5,274.492,1.99591,1.47526,1.37004,0.6582,0.54968,0.59968,0.28432,1.84634,1.50586,1.34459,0.001208,0.001208,0.001208
6,300.93,1.94705,1.42882,1.33735,0.67972,0.53792,0.61365,0.28404,1.85533,1.56899,1.3481,0.00101,0.00101,0.00101
7,327.464,1.96842,1.38689,1.33783,0.71102,0.64609,0.70683,0.33036,1.77986,1.31825,1.29355,0.000812,0.000812,0.000812
8,353.986,1.95277,1.31989,1.32971,0.74567,0.61787,0.69712,0.33203,1.80534,1.3301,1.3057,0.000614,0.000614,0.000614
9,381.183,1.92077,1.30391,1.31402,0.76494,0.62787,0.70022,0.33651,1.79546,1.29579,1.32682,0.000416,0.000416,0.000416
10,408.049,1.9075,1.26232,1.31031,0.75812,0.63384,0.71425,0.34871,1.75503,1.28323,1.27748,0.000218,0.000218,0.000218
