epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3564,2.1597,2.22565,1.43295,0.86385,0.10817,0.35188,0.15718,1.8829,2.76953,1.39654,0.000657534,0.000657534,0.000657534
2,54.831,2.05744,1.68864,1.38764,0.52196,0.43445,0.42806,0.18667,1.92867,1.99255,1.40996,0.0012805,0.0012805,0.0012805
3,81.7439,2.03623,1.5718,1.36875,0.61515,0.54689,0.56269,0.24386,1.94045,1.63131,1.39388,0.00185947,0.00185947,0.00185947
4,108.753,2.03861,1.47372,1.36759,0.62019,0.51617,0.55575,0.25427,1.96491,1.64623,1.44522,0.001802,0.001802,0.001802
5,135.498,2.05705,1.44083,1.35312,0.59907,0.57378,0.58514,0.26958,1.88793,1.50666,1.36642,0.001736,0.001736,0.001736
6,162.105,2.00588,1.37791,1.34046,0.71407,0.59024,0.65227,0.30816,1.84453,1.42049,1.34307,0.00167,0.00167,0.00167
7,188.893,1.96403,1.32939,1.3556,0.64895,0.592,0.65684,0.30658,1.8261,1.3497,1.34367,0.001604,0.001604,0.001604
8,215.648,1.9829,1.31894,1.33206,0.6728,0.55791,0.6175,0.28719,1.83897,1.48769,1.37515,0.001538,0.001538,0.001538
9,242.466,1.96935,1.32747,1.34534,0.74231,0.60119,0.67102,0.30988,1.85295,1.37872,1.36496,0.001472,0.001472,0.001472
10,269.458,1.96386,1.29173,1.32049,0.76592,0.58671,0.68067,0.32449,1.8123,1.31554,1.34777,0.001406,0.001406,0.001406
11,296.403,1.9786,1.26429,1.33794,0.73493,0.59671,0.66187,0.32009,1.80598,1.35253,1.34802,0.00134,0.00134,0.00134
12,323.26,1.9306,1.27048,1.31986,0.7462,0.61611,0.68876,0.31457,1.82222,1.29349,1.36679,0.001274,0.001274,0.001274
13,350.204,1.94184,1.21797,1.31272,0.74109,0.61083,0.68059,0.31953,1.83977,1.29665,1.37197,0.001208,0.001208,0.001208
14,377.582,1.95368,1.23192,1.32124,0.76529,0.61141,0.69344,0.32615,1.81312,1.23103,1.3565,0.001142,0.001142,0.001142
15,405.374,1.93206,1.19945,1.32212,0.72532,0.59906,0.67116,0.31978,1.83709,1.29295,1.36746,0.001076,0.001076,0.001076
16,433.954,1.93214,1.21738,1.32906,0.76328,0.62199,0.68442,0.32793,1.80006,1.27191,1.35742,0.00101,0.00101,0.00101
17,462.698,1.86816,1.16424,1.29787,0.77124,0.6214,0.68548,0.32224,1.83645,1.29411,1.37264,0.000944,0.000944,0.000944
18,490.589,1.87688,1.14741,1.29923,0.76202,0.61367,0.68517,0.32433,1.82218,1.26023,1.36805,0.000878,0.000878,0.000878
19,518.109,1.91164,1.17805,1.30413,0.78048,0.62022,0.7097,0.34238,1.78597,1.19453,1.33897,0.000812,0.000812,0.000812
20,545.732,1.88413,1.14967,1.29231,0.78248,0.65079,0.72207,0.34778,1.78265,1.16366,1.32679,0.000746,0.000746,0.000746
21,604.329,1.88252,1.16893,1.31694,0.77126,0.64622,0.72224,0.34371,1.78952,1.18058,1.34487,0.00068,0.00068,0.00068
22,630.928,1.86353,1.11873,1.324,0.74925,0.65021,0.71046,0.33555,1.83129,1.15814,1.35828,0.000614,0.000614,0.000614
23,657.669,1.87601,1.11408,1.30252,0.74591,0.59553,0.67105,0.32184,1.83333,1.27892,1.35903,0.000548,0.000548,0.000548
24,684.472,1.8531,1.09721,1.30474,0.75917,0.60317,0.67715,0.32896,1.81735,1.23097,1.3715,0.000482,0.000482,0.000482
25,711.67,1.84283,1.0986,1.30086,0.74846,0.62316,0.69465,0.3395,1.79842,1.18973,1.34987,0.000416,0.000416,0.000416
26,739.158,1.85618,1.0647,1.29694,0.79648,0.59818,0.68951,0.33284,1.81785,1.27993,1.34898,0.00035,0.00035,0.00035
27,766.47,1.83305,1.05196,1.28522,0.79347,0.62199,0.70296,0.33641,1.80467,1.2046,1.35665,0.000284,0.000284,0.000284
28,794.041,1.81865,1.06908,1.29493,0.77422,0.61434,0.69427,0.33442,1.81006,1.22286,1.34938,0.000218,0.000218,0.000218
29,821.782,1.82105,1.03251,1.2845,0.79556,0.61728,0.70052,0.33487,1.81218,1.21337,1.34509,0.000152,0.000152,0.000152
30,848.949,1.81655,1.03577,1.29052,0.79404,0.61874,0.70333,0.33929,1.80027,1.20079,1.33759,8.6e-05,8.6e-05,8.6e-05
