epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1002,2.22121,2.31542,1.54348,0.81142,0.23777,0.40003,0.13615,2.06677,2.5585,1.53357,0.000657534,0.000657534,0.000657534
2,53.7963,2.02817,1.77116,1.42127,0.57161,0.48714,0.52138,0.18824,2.09337,1.95731,1.54175,0.0012805,0.0012805,0.0012805
3,80.0938,2.005,1.72288,1.4256,0.5519,0.49381,0.47369,0.18561,2.02201,1.90813,1.46472,0.00185947,0.00185947,0.00185947
4,106.454,2.01042,1.63676,1.43942,0.64239,0.53086,0.58496,0.21872,2.11406,1.66915,1.54941,0.001802,0.001802,0.001802
5,133.236,2.01092,1.63802,1.43674,0.62707,0.56849,0.59965,0.25085,1.9986,1.56658,1.4785,0.001736,0.001736,0.001736
6,160.336,1.98681,1.5617,1.40048,0.64118,0.52734,0.58868,0.23555,2.02434,1.66584,1.48941,0.00167,0.00167,0.00167
7,187.168,2.00104,1.51351,1.40561,0.62425,0.5097,0.577,0.22334,2.04907,1.60213,1.49478,0.001604,0.001604,0.001604
8,213.832,1.95467,1.44103,1.38073,0.66876,0.57211,0.63294,0.28518,1.92775,1.42431,1.4144,0.001538,0.001538,0.001538
9,240.687,1.95304,1.46865,1.40258,0.69537,0.58377,0.64349,0.27205,1.95815,1.4077,1.44873,0.001472,0.001472,0.001472
10,267.669,1.93463,1.41213,1.39221,0.68945,0.56906,0.65211,0.29379,1.90126,1.35767,1.41913,0.001406,0.001406,0.001406
11,294.783,1.984,1.42606,1.39317,0.71171,0.61846,0.69134,0.31249,1.84185,1.32738,1.36993,0.00134,0.00134,0.00134
12,321.865,1.9306,1.40708,1.37651,0.72696,0.58384,0.66069,0.28154,1.97504,1.36101,1.42885,0.001274,0.001274,0.001274
13,348.954,1.94447,1.41025,1.38135,0.71361,0.54086,0.62341,0.27937,1.88079,1.42751,1.43782,0.001208,0.001208,0.001208
14,376.017,1.89894,1.36416,1.36739,0.75744,0.58965,0.6746,0.29966,1.91462,1.30341,1.42553,0.001142,0.001142,0.001142
15,403.544,1.9144,1.3363,1.36576,0.72062,0.57025,0.65153,0.28383,1.92,1.38039,1.40378,0.001076,0.001076,0.001076
16,431.086,1.92528,1.34071,1.36003,0.74466,0.60847,0.67876,0.31609,1.87173,1.26009,1.39541,0.00101,0.00101,0.00101
17,458.753,1.90465,1.2999,1.36432,0.75274,0.59788,0.67853,0.311,1.88395,1.28815,1.38561,0.000944,0.000944,0.000944
18,486.331,1.92596,1.34304,1.3627,0.76909,0.60259,0.69371,0.32632,1.81801,1.27764,1.3584,0.000878,0.000878,0.000878
19,513.707,1.91498,1.35191,1.36151,0.7764,0.61434,0.69912,0.32222,1.8801,1.25455,1.39146,0.000812,0.000812,0.000812
20,540.983,1.8884,1.29287,1.35399,0.77998,0.62733,0.70446,0.33227,1.81857,1.23604,1.35085,0.000746,0.000746,0.000746
21,599.102,1.8544,1.27676,1.34979,0.75335,0.65197,0.71664,0.32732,1.83548,1.23076,1.36245,0.00068,0.00068,0.00068
22,625.535,1.85238,1.22661,1.35476,0.74948,0.58789,0.67371,0.30716,1.89394,1.26709,1.4058,0.000614,0.000614,0.000614
23,652.245,1.84693,1.23422,1.33921,0.77864,0.58495,0.67893,0.30686,1.88284,1.3318,1.38083,0.000548,0.000548,0.000548
24,679.033,1.83144,1.19011,1.33962,0.78396,0.59494,0.6876,0.32529,1.8319,1.27295,1.38012,0.000482,0.000482,0.000482
25,705.936,1.85732,1.18479,1.3542,0.78446,0.6067,0.697,0.33022,1.83537,1.28523,1.3664,0.000416,0.000416,0.000416
26,732.902,1.83971,1.17343,1.32762,0.77101,0.61787,0.70528,0.33655,1.80076,1.26908,1.33957,0.00035,0.00035,0.00035
27,760.122,1.83427,1.1656,1.31845,0.80205,0.62081,0.71929,0.34441,1.81339,1.21701,1.3557,0.000284,0.000284,0.000284
28,787.379,1.81192,1.17492,1.32715,0.78269,0.59498,0.69223,0.32819,1.82558,1.27666,1.37083,0.000218,0.000218,0.000218
29,814.439,1.80541,1.15289,1.32414,0.78855,0.61082,0.70612,0.33757,1.81977,1.25737,1.37003,0.000152,0.000152,0.000152
30,842.13,1.81216,1.14309,1.33395,0.79297,0.62372,0.71089,0.34138,1.81362,1.23003,1.36274,8.6e-05,8.6e-05,8.6e-05
